imie	nazwisko	pesel	email	odpowiedzialny	
Mirosława	Rogalska	00311440528	m.rogalska@buziaczek.pl	19021739	
Ludomił	Fogiel	00311886197	l.fogiel@o2.pl	20933882	
Aleksander	Gajda	00312143796	a.gajda@gmail.com	90580264	
Hipolit	Chmiel	00312473314	chmiel@onet.pl	72326997	
Orest	Świniarski	00320101955	o.swiniarski@gmail.com	84809279	
Bożan	Mołdrzyk	00320237032	moldrzyk@gmail.com	56936099	
Jarowit	Paszkiewicz	00320314412	paszkiewicz@onet.pl	50311778	
Karima	Sarnawska	00320531723	sarnawska1@o2.pl	46758203	
Świętomira	Kozubowska	00320780264	kozubowska11@amorek.com.pl	68196496	
Stoigniew	Urbański	00321237277	s.urbanski@onet.pl	87429301	
Brajan	Wojciechowski	00321641777	wojciechowski@gmail.com	85093894	
Linda	Odrzywolska	00321831488	odrzywolska@o2.pl	23844492	
Kazimierz	Wolny	00322667099	wolny1@buziaczek.pl	70913188	
Tomisława	Frątczak	00322960888	fratczak@o2.pl	16189677	
Antonius	Łomnicki	00323000855	a.lomnicki@o2.pl	81412704	
Ludomir	Jaśkiewicz	01210253198	l.jaskiewicz@onet.pl	82461321	
Gotszalk	Wiesiołowski	01211948211	g.wiesiolowski@amorek.com.pl	41569944	
Oskar	Łagowski	01212099275	o.lagowski@o2.pl	98928975	
Murat	Jarczyński	01212183259	jarczynski@amorek.com.pl	48947618	
Melania	Dzierżanowska	01212830427	m.dzierzanowska@o2.pl	48509320	
Jaromira	Żmuda	01212911047	zmuda@buziaczek.pl	63002422	
Malina	Maciszewska	01220230060	maciszewska@buziaczek.pl	53376349	
Miłogost	Słowakiewicz	01220419814	slowakiewicz11@wp.pl	27620170	
Rafał	Niementowski	01220909137	niementowski1@o2.pl	91747864	
Świętomir	Zieliński	01220915037	s.zielinski@o2.pl	3866296	
Karol	Szymański	01220942415	szymanski@gmail.com	5418373	
Kamila	Orska	01220960440	orska@gmail.com	96236501	
Kemal	Tatarkiewicz	01221435136	k.tatarkiewicz@onet.pl	75734608	
Dżamil	Malinowski	01221841294	malinowski@buziaczek.pl	33308273	
Apoloniusz	Sojka	01222005619	a.sojka@o2.pl	82605114	
Damroka	Zawadzki	01222103966	zawadzki@wp.pl	57633543	
Felicja	Jabłonowska	01222672329	f.jablonowska@o2.pl	6266829	
Malachiasz	Odrzywolski	01222758173	m.odrzywolski@gmail.com	26576701	
Konstanty	Frykowski	01222762873	k.frykowski@buziaczek.pl	98173407	
Dalia	Mazurkiewicz	01230281661	mazurkiewicz@buziaczek.pl	22275123	
Alfons	Skrok	01231097931	a.skrok@gmail.com	46361611	
Lesław	Purcelewski	01231711459	l.purcelewski@gmail.com	8403805	
Paula	Bodurka	01231994382	bodurka@buziaczek.pl	84038941	
Jarosława	Smolar	01232116208	smolar@gmail.com	77151283	
Telesfor	Zdanowicz	01232444299	zdanowicz@o2.pl	81720776	
Hasan	Krupiński	01232563918	krupinski@o2.pl	94604069	
Miłosz	Lilpop	01232861870	lilpop@o2.pl	85048520	
Maryna	Szwedowska	01233021505	szwedowska@o2.pl	26031989	
Maurycjusz	Pietrasiak	01233146831	pietrasiak@wp.pl	41150955	
Rodzisława	Kaznowska	01240342682	kaznowska@buziaczek.pl	83026064	
Prokop	Bieniasz	01240825554	bieniasz@onet.pl	4906498	
Miłogost	Piwarski	01240851610	piwarski@gmail.com	14449655	
Samuel	Berezowski	01241211516	s.berezowski@onet.pl	24264952	
Marian	Brzana	01241492874	m.brzana@o2.pl	34877991	
Andżelika	Chudzińska	01241734565	chudzinska1@buziaczek.pl	60364312	
Irina	Frączkiewicz	01241761868	i.fraczkiewicz@o2.pl	56365334	
Witołd	Pietraszek	01250797377	pietraszek@o2.pl	26189964	
Nadia	Pietraszek	01250978208	n.pietraszek@buziaczek.pl	9963015	
Stojan	Malak	01251161539	s.malak@amorek.com.pl	52920124	
Lechosław	Franczak	01251193158	l.franczak@buziaczek.pl	96373840	
Sylwia	Adamowska	01251604126	s.adamowska@o2.pl	78691075	
Miriam	Smolik	01252437208	m.smolik@wp.pl	82803345	
Tulimierz	Stephan	01252752538	t.stephan@onet.pl	29389694	
Maryja	Wiesiołowska	01252837183	m.wiesiolowska@o2.pl	2767	
Idzi	Majerski	01260160691	i.majerski@onet.pl	49129463	
Krzysztof	Sarnawski	01260229916	sarnawski@wp.pl	67338747	
Florentyna	Olechowska	01260331529	f.olechowska@wp.pl	49767653	
Dymitr	Żaliński	01260525937	zalinski@onet.pl	32276216	
Nitara	Knothe	01260724220	n.knothe@amorek.com.pl	60832750	
Narcyza	Unrug	01260725184	n.unrug@buziaczek.pl	10635166	
Estella	Nisau	01260787382	nisau1@buziaczek.pl	12672869	
Anatol	Pełka	01261795719	a.pelka@onet.pl	61302449	
Bert	Dziurawiec	01262016891	b.dziurawiec@amorek.com.pl	88816351	
Barbara	Śpiewakowska	01262332689	b.spiewakowska@wp.pl	99673744	
Ryszarda	Dąbek	01262756403	r.dabek@amorek.com.pl	77995830	
Remigia	Pluta	01262900765	pluta@o2.pl	1968669	
Anna	Urbańska	01270170404	a.urbanska@wp.pl	54297634	
Chociemir	Polański	01270526632	c.polanski@buziaczek.pl	54402663	
Ulana	Kaczorowska	01270701543	kaczorowska@onet.pl	1302815	
Anastazja	Rogalska	01271499423	rogalska@wp.pl	16947107	
Oswald	Grabski	01271572953	grabski@amorek.com.pl	80003803	
Tadeusz	Staniewski	01272568559	staniewski@onet.pl	53134868	
Celina	Statkowska	01272644785	c.statkowska@amorek.com.pl	1302815	
Rozalia	Nowak	01273179608	nowak@o2.pl	43287370	
Bolebor	Pawlikowski	01280189230	b.pawlikowski@amorek.com.pl	11230743	
Alia	Nowicka	01280845080	nowicka@gmail.com	86978139	
Miroład	Peretjatkowicz	01280849213	peretjatkowicz@amorek.com.pl	68581140	
Karyna	Jaśkiewicz	01280971044	jaskiewicz@wp.pl	36011956	
Otniel	Tyrowicz	01281049995	o.tyrowicz@amorek.com.pl	94199597	
Seweryn	Piecha	01281058959	s.piecha@gmail.com	1946115	
Wenancjusz	Włodarczyk	01281186335	wlodarczyk1@gmail.com	31390840	
Dagmara	Matuszkiewicz	01281377962	d.matuszkiewicz@gmail.com	60832750	
Mika	Strutyńska	01282350685	strutynska@onet.pl	50441893	
Wojciech	Waglewski	01282379659	w.waglewski@amorek.com.pl	59777961	
Maryna	Piątek	01282620366	m.piatek@amorek.com.pl	11524571	
Sergiusz	Wnorowski	01282640775	s.wnorowski@o2.pl	73338724	
Eliot	Pięta	01290196538	e.pieta@buziaczek.pl	25138892	
Danisława	Żmuda	01290248440	zmuda@onet.pl	12582371	
Izabella	Waligórska	01290736761	i.waligorska@o2.pl	10571182	
Ula	Cichy	01291151783	cichy@amorek.com.pl	51676087	
Telimena	Kuźniar	01291214422	kuzniar@onet.pl	99864218	
Ludomir	Szwedowski	01292030351	l.szwedowski@wp.pl	28439493	
Jarosław	Jastrzębski	01292570976	jastrzebski@amorek.com.pl	80060218	
Florian	Szczypiorski	01292719735	szczypiorski@amorek.com.pl	43287370	
Inka	Bogusz	01293050165	i.bogusz@buziaczek.pl	8552457	
Aniela	Bartyzel	01300226163	bartyzel@gmail.com	26955808	
Monika	Duchnowska	01300429764	m.duchnowska@buziaczek.pl	38517861	
Walenty	Wałach	01300570255	walach@gmail.com	33119498	
Świętibor	Kotecki	01301355235	kotecki@buziaczek.pl	99411611	
Edmund	Pawlak	01301487592	e.pawlak@o2.pl	24734332	
Amanda	Sękiewicz	01301948107	sekiewicz1@buziaczek.pl	13833987	
Nikoleta	Iwanicka	01302770066	n.iwanicka@gmail.com	43895115	
Kiliana	Kalinowska	01310841624	k.kalinowska@o2.pl	85422250	
Zenobiusz	Lilpop	01312356472	z.lilpop@amorek.com.pl	61425164	
Cezar	Turczyński	01312504370	turczynski@buziaczek.pl	91092372	
Nasif	Nowak	01312781832	n.nowak@buziaczek.pl	65252806	
August	Wielopolski	01320407690	a.wielopolski@onet.pl	41366184	
Barbara	Godlewska	01320862509	b.godlewska@onet.pl	53791139	
Sykstus	Pankiewicz	01320871396	s.pankiewicz@gmail.com	86880261	
Szczepan	Koziej	01321438118	koziej@onet.pl	45923888	
Gościsław	Kurowski	01321925339	g.kurowski@gmail.com	65229172	
Gniewosz	Dobrucki	01322193072	dobrucki@onet.pl	66142133	
Ziemowit	Lewandowski	01322349398	lewandowski@o2.pl	47911272	
Stoigniew	Bartyzel	01322719731	s.bartyzel@buziaczek.pl	66152118	
Gryzelda	Majdecka	02210140024	majdecka@o2.pl	67840746	
Pola	Pajewska	02210578944	pajewska@gmail.com	117140	
Dobiesław	Sienkiewicz	02210993073	d.sienkiewicz@gmail.com	60338234	
Jowita	Magierowska	02212139707	magierowska@gmail.com	75701203	
Cezaria	Biernacka	02220207560	biernacka@onet.pl	68581140	
Alan	Drągowski	02220473370	dragowski@onet.pl	63002422	
Krystian	Kasperlik	02220646392	kasperlik@gmail.com	99592219	
Borys	Platajs	02220819499	platajs1@buziaczek.pl	42684000	
Ignacy	Cichowski	02220870955	i.cichowski@amorek.com.pl	65111898	
Korneli	Berezowski	02220879336	berezowski@amorek.com.pl	94324052	
Lucjana	Wierzbowska	02221439922	wierzbowska@wp.pl	86132268	
Bruno	Matuszkiewicz	02222142094	matuszkiewicz@wp.pl	50205468	
Bona	Górska	02222341264	gorska@o2.pl	6832633	
Fabiola	Zawiślak	02222501167	f.zawislak@amorek.com.pl	8961726	
Wit	Szklarski	02222741538	szklarski@wp.pl	56392242	
Ambroży	Larek	02230155079	larek@amorek.com.pl	66046145	
Pabiana	Grabarz	02230208265	p.grabarz@onet.pl	56445249	
Bolesława	Bielicka	02231887788	bielicka@amorek.com.pl	36524604	
Estella	Kmiecik	02232976940	e.kmiecik@amorek.com.pl	88979494	
Cezaryna	Paluszkiewicz	02240201481	c.paluszkiewicz@wp.pl	9761444	
Marietta	Ambroziak	02240347424	m.ambroziak@wp.pl	58395726	
Joachim	Fogiel	02240641573	j.fogiel@onet.pl	17415515	
Dal	Kolasa	02240823672	kolasa@o2.pl	87346735	
Jokasta	Gondz	02240924267	j.gondz@o2.pl	54812412	
Ingryda	Piątek	02241335367	i.piatek@o2.pl	72979465	
Rodzisława	Błaszczykowska	02241534582	r.blaszczykowska@buziaczek.pl	32629667	
Randoald	Betlej	02241820692	betlej@amorek.com.pl	95423327	
Leokadia	Surma	02241825147	l.surma@gmail.com	51080999	
Kiliana	Ryndak	02242154329	k.ryndak@amorek.com.pl	68581140	
Mariola	Golka	02242955784	golka@wp.pl	12608244	
Petroniusz	Grochowski	02250438710	grochowski@buziaczek.pl	67026886	
Cezaryna	Zdanowicz	02252043503	c.zdanowicz@gmail.com	8454373	
Brunhilda	Ostrowska	02252569104	b.ostrowska@wp.pl	12317114	
Bazyli	Szcześniak	02252619335	b.szczesniak@amorek.com.pl	27553683	
Pelagiusz	Teodorowicz	02252636918	p.teodorowicz@gmail.com	64858082	
Ewaryst	Korona	02260490759	korona@onet.pl	30671889	
Petroniusz	Wilk	02260873778	wilk@o2.pl	86951795	
Oda	Betlej	02260999166	betlej1@onet.pl	38648550	
Medard	Jabłkowski	02261682171	m.jablkowski@amorek.com.pl	88874583	
Mina	Czachor	02261872646	czachor@gmail.com	3945286	
Radomił	Mirek	02270155394	r.mirek@o2.pl	94823784	
Jasława	Makowska	02270565647	makowska@buziaczek.pl	36524604	
Świętopełk	Szmejter	02270826678	s.szmejter@o2.pl	84048623	
Emina	Olechowska	02271427861	olechowska1@gmail.com	98407529	
Rafał	Szojda	02271566890	r.szojda@o2.pl	42298667	
Karyna	Jarmakowska	02271809506	k.jarmakowska@buziaczek.pl	77617827	
Adriana	Malanowska	02272610666	malanowska1@o2.pl	23126169	
Kwietosława	Kuczera	02273064426	kuczera@o2.pl	94199597	
Flora	Krasuska	02273088600	f.krasuska@gmail.com	35383507	
Dobrochna	Kołodziej	02280719788	d.kolodziej@onet.pl	42534275	
Leoncja	Wielowieyska	02280784203	wielowieyska@wp.pl	51302865	
Arnold	Wojnar	02281036392	a.wojnar@gmail.com	65117124	
Jessica	Topolska	02281493203	j.topolska@amorek.com.pl	54705963	
Dalgur	Plater	02281624634	d.plater@buziaczek.pl	16650505	
Abdon	Maculewicz	02281637852	a.maculewicz@wp.pl	19866235	
Julita	Szlagowska	02281796801	szlagowska@gmail.com	96352957	
Horacy	Kaznowski	02282423751	kaznowski@amorek.com.pl	67730062	
Bibiana	Piszcz	02282868480	b.piszcz@onet.pl	40638852	
Nora	Sicińska	02291042064	sicinska@onet.pl	79571377	
Dymitr	Reszke	02292555156	reszke@o2.pl	3341027	
Stanisława	Perlicka	02300185788	s.perlicka@gmail.com	65111898	
Modest	Wisowaty	02300453276	wisowaty@wp.pl	79254743	
Amelia	Krupińska	02300620223	a.krupinska@amorek.com.pl	7353726	
Aurelia	Orzyłowska	02300723360	a.orzylowska@onet.pl	46500768	
Dalila	Świerkosz	02301007962	swierkosz@wp.pl	35368909	
Barbara	Surdykowska	02301062064	surdykowska@amorek.com.pl	41859381	
Rozetta	Tomaszewska	02302083848	r.tomaszewska@amorek.com.pl	12306477	
Krzesimir	Wodziński	02302259733	k.wodzinski@buziaczek.pl	91025708	
Lila	Kmiecik	02302337602	kmiecik@wp.pl	69282692	
Mirela	Kozubowska	02302428188	kozubowska1@amorek.com.pl	7972480	
Antonin	Piszcz	02302878273	a.piszcz@onet.pl	13894690	
Faustyn	Jabłczyński	02310123178	jablczynski@o2.pl	74392976	
Bonawentura	Krakowiak	02310770738	b.krakowiak@buziaczek.pl	83963622	
Florentyn	Gawkowski	02310895996	gawkowski@wp.pl	57633543	
Pola	Adamecka	02310987466	adamecka1@o2.pl	24734332	
Radosław	Górka	02311534872	gorka@gmail.com	6192588	
Ferdynanda	Paszkowicz	02312137760	f.paszkowicz@gmail.com	15359616	
Radmiła	Stępkowska	02312180942	stepkowska@onet.pl	94713626	
Iryda	Borys	02312214980	i.borys@buziaczek.pl	98716023	
Malwina	Mioduszewska	02312237804	mioduszewska@o2.pl	79902014	
Dajmira	Weryszko	02320581029	d.weryszko@o2.pl	30237770	
Lubogost	Obrębski	02320643590	obrebski@amorek.com.pl	3318742	
Brunon	Piętka	02320696635	pietka1@gmail.com	83698657	
Augustyna	Iwańska	02320853740	a.iwanska@wp.pl	70072892	
Adelard	Brodowicz	02321381093	a.brodowicz@wp.pl	75352183	
Nasif	Grabiński	02321944256	grabinski1@onet.pl	6613737	
Sofroniusz	Cielecki	02322209891	s.cielecki@wp.pl	16752924	
Ronald	Malak	55010373815	r.malak@wp.pl	23060546	
Danuta	Kubicz	55010837348	d.kubicz@onet.pl	71450832	
Agrypin	Kozubski	55011333799	kozubski@buziaczek.pl	4000228	
Faris	Szczepanik	55012322657	szczepanik@onet.pl	76768693	
Piotr	Strzyżewski	55012550399	strzyzewski@gmail.com	17628984	
Apoloniusz	Bachleda	55012815713	bachleda@amorek.com.pl	12597497	
Paweł	Korczewski	55020427379	korczewski@wp.pl	10571182	
Lubosław	Bakuła	55021370072	l.bakula@gmail.com	86880261	
Stella	Grabska	55021863787	grabska@wp.pl	15359616	
Leon	Wojtaczka	55021902334	l.wojtaczka@wp.pl	5602562	
Agnieszka	Patek	55022120928	patek@gmail.com	88725265	
Remigiusz	Grądzki	55022286479	gradzki@o2.pl	55709848	
Wirginiusz	Białecki	55022389691	w.bialecki@amorek.com.pl	48977391	
Miłowan	Rzepecki	55030314957	m.rzepecki@amorek.com.pl	70613215	
Sulibor	Kaczorowski	55030483817	kaczorowski@onet.pl	18041947	
Heliodor	Piwowarczyk	55030632273	piwowarczyk@o2.pl	193026	
Leonarda	Świerczyńska	55031922485	l.swierczynska@gmail.com	35013056	
Manuel	Jarmakowski	55032131053	jarmakowski@amorek.com.pl	79254743	
Kemal	Przypkowski	55032343717	k.przypkowski@gmail.com	46330849	
Pelagiusz	Milewski	55032567391	p.milewski@o2.pl	37795651	
Ksawery	Woźniak	55032912856	k.wozniak@onet.pl	78967800	
Inga	Dziubdziela	55040593405	i.dziubdziela@gmail.com	90680389	
Gryzelda	Zawada	55040846763	g.zawada@buziaczek.pl	16286529	
Sędzisław	Górka	55041069512	s.gorka@o2.pl	68646338	
Michał	Siczek	55041164330	m.siczek@buziaczek.pl	1509437	
Heliodor	Czech	55042586656	czech@gmail.com	6269804	
Dargosława	Rafalska	55042847427	d.rafalska@onet.pl	11941268	
Danisław	Kiszka	55042941596	kiszka1@wp.pl	22442091	
Alfreda	Gościniak	55050645066	gosciniak@o2.pl	66798237	
Filipina	Kraszewska	55050754522	kraszewska1@amorek.com.pl	44044404	
Żytomir	Szymanek	55051124254	szymanek@gmail.com	98850314	
Rajner	Sękiewicz	55051293817	sekiewicz1@wp.pl	3772347	
Leonard	Przyboś	55052611399	przybos@amorek.com.pl	70775033	
Dorota	Adamowicz	55052673184	adamowicz@gmail.com	47930594	
Stoisława	Pazura	55052835607	pazura@onet.pl	35879311	
Ginter	Dobrzyński	55053086774	dobrzynski1@wp.pl	56123201	
Aleksy	Jastrzębski	55060203850	a.jastrzebski@wp.pl	44438708	
Sylwester	Różewicz	55061271551	rozewicz1@wp.pl	1578027	
Lubisław	Wichłacz	55061462430	wichlacz@amorek.com.pl	52289340	
Mojmierz	Smolarek	55061593499	m.smolarek@o2.pl	36141098	
Konstantyn	Mackiewicz	55061647211	mackiewicz@gmail.com	48703466	
Józefina	Masny	55061930526	j.masny@amorek.com.pl	92742883	
Kosma	Drewnowicz	55070113376	drewnowicz@gmail.com	30413693	
Nadzieja	Szajna	55070267044	szajna@o2.pl	73490741	
Maksymilian	Włodarczyk	55070634651	wlodarczyk@gmail.com	22178860	
Mina	Jerzmanowska	55071305460	jerzmanowska1@wp.pl	93308544	
Konstanty	Raszewski	55071685496	k.raszewski@amorek.com.pl	10571182	
Olgierd	Borawski	55071876634	borawski@buziaczek.pl	60563568	
Donata	Paradowska	55071889241	paradowska@gmail.com	75734433	
Godfryd	Pelc	55072001495	pelc@gmail.com	70913188	
Halszka	Staniewska	55072428984	h.staniewska@wp.pl	91405785	
Leo	Obtułowicz	55072772298	obtulowicz@o2.pl	106189	
Chwalisława	Śliwińska	55072840324	c.sliwinska@amorek.com.pl	9340756	
Krzesimir	Adamowicz	55072972070	k.adamowicz@amorek.com.pl	3341027	
Kosma	Winnicki	55080239451	k.winnicki@gmail.com	73796854	
Elora	Polańska	55080444682	polanska@wp.pl	75046797	
Anzelm	Paszewski	55080463816	a.paszewski@wp.pl	17628984	
Adelajda	Piątek	55080614083	a.piatek@o2.pl	10359143	
Tadea	Olszewska	55081203646	t.olszewska@wp.pl	30391245	
Felicyta	Zaucha	55081309748	zaucha@onet.pl	86190383	
Oswald	Wiszowaty	55081680539	o.wiszowaty@wp.pl	60124258	
Aleksander	Kurcz	55081749557	a.kurcz@amorek.com.pl	1251041	
Stanisława	Podsiadło	55081917567	podsiadlo@amorek.com.pl	38077038	
Maryn	Pajewski	55082339111	pajewski@o2.pl	2330496	
Grażyna	Mazur	55082727725	g.mazur@o2.pl	3674457	
Konstancja	Obtułowicz	55083099469	obtulowicz@amorek.com.pl	12608244	
Iga	Świetlicka	55090547829	swietlicka11@o2.pl	90658560	
Nikodem	Kalinowski	55091174451	kalinowski@buziaczek.pl	90866239	
Klaudyna	Bizoń	55091417808	k.bizon@onet.pl	66965805	
Damian	Wójtowicz	55091547958	wojtowicz@amorek.com.pl	59625740	
Bogumiła	Kotecka	55091757283	b.kotecka@amorek.com.pl	17709950	
Ernestyna	Bużeńska	55091758840	buzenska@amorek.com.pl	3945286	
Rozalia	Klimczuk	55091869506	r.klimczuk@gmail.com	82262535	
Halszka	Waligórska	55092662948	h.waligorska@wp.pl	59595830	
Cinosława	Piszczek	55100724828	piszczek@wp.pl	3106423	
Barnaba	Sikora	55100969973	sikora@buziaczek.pl	23019291	
Sydonia	Synal	55101712648	s.synal@gmail.com	12306477	
Jarad	Maniura	55101880996	maniura@gmail.com	16286529	
Ferdynanda	Chmiel	55102411225	chmiel1@wp.pl	99568020	
Bożan	Jankowski	55102585456	jankowski@amorek.com.pl	36263910	
Mamert	Solnica	55110456553	solnica@wp.pl	34387579	
Babeta	Kaja	55110770783	kaja@gmail.com	23143431	
Otokar	Szmejter	55112335496	szmejter@gmail.com	55352409	
Miłowita	Vetulani	55112906407	vetulani@amorek.com.pl	86608525	
Stela	Sicińska	55120877825	sicinska1@gmail.com	82570749	
Kornelia	Topolska	55120959088	topolska@amorek.com.pl	35512909	
Jagoda	Kurtyka	55121174884	kurtyka1@buziaczek.pl	42502215	
Żarko	Opasiński	55121867951	z.opasinski@wp.pl	91276181	
Wenancjusz	Malinowski	55122167074	w.malinowski@gmail.com	86924339	
Bożenna	Pietrzak	55122539105	pietrzak1@onet.pl	40849551	
Ozeasz	Semik	55122644179	o.semik@o2.pl	56888795	
Mikołaj	Szczęsny	55122677836	szczesny1@gmail.com	73241596	
Anatol	Świdziński	55123030056	swidzinski@gmail.com	87346735	
Stela	Partyka	55123149086	partyka1@wp.pl	92512949	
Jadwiga	Milska	56010178622	j.milska@wp.pl	43449569	
